SFV_Am_put FV_Eur_put FV_Am_call FV_Eur_call 
15 85 80.2725 0.000347027 0.000347027 
15.1 84.9 80.1736 0.000378643 0.000378643 
15.2 84.8 80.0746 0.00041026 0.00041026 
15.3 84.7 79.9756 0.000441877 0.000441877 
15.4 84.6 79.8766 0.000473493 0.000473493 
15.5 84.5 79.7777 0.00050511 0.00050511 
15.6 84.4 79.6787 0.000536727 0.000536727 
15.7 84.3 79.5797 0.000568343 0.000568343 
15.8 84.2 79.4808 0.00059996 0.00059996 
15.9 84.1 79.3818 0.000631577 0.000631577 
16 84 79.2828 0.000663193 0.000663193 
16.1 83.9 79.1838 0.00069481 0.00069481 
16.2 83.8 79.0849 0.000726427 0.000726427 
16.3 83.7 78.9859 0.000758043 0.000758043 
16.4 83.6 78.8869 0.00078966 0.00078966 
16.5 83.5 78.7879 0.000821277 0.000821277 
16.6 83.4 78.689 0.000877224 0.000877224 
16.7 83.3 78.5901 0.000943542 0.000943542 
16.8 83.2 78.4911 0.00100986 0.00100986 
16.9 83.1 78.3922 0.00107618 0.00107618 
17 83 78.2932 0.0011425 0.0011425 
17.1 82.9 78.1943 0.00120882 0.00120882 
17.2 82.8 78.0954 0.00127514 0.00127514 
17.3 82.7 77.9964 0.00134146 0.00134146 
17.4 82.6 77.8975 0.00140777 0.00140777 
17.5 82.5 77.7985 0.00147409 0.00147409 
17.6 82.4 77.6996 0.00154041 0.00154041 
17.7 82.3 77.6007 0.00160673 0.00160673 
17.8 82.2 77.5017 0.00167305 0.00167305 
17.9 82.1 77.4028 0.00173937 0.00173937 
18 82 77.3039 0.00180569 0.00180569 
18.1 81.9 77.2049 0.00187201 0.00187201 
18.2 81.8 77.106 0.00193832 0.00193832 
18.3 81.7 77.0071 0.00202583 0.00202583 
18.4 81.6 76.9082 0.00215909 0.00215909 
18.5 81.5 76.8093 0.00229235 0.00229235 
18.6 81.4 76.7104 0.00242561 0.00242561 
18.7 81.3 76.6116 0.00255886 0.00255886 
18.8 81.2 76.5127 0.00269212 0.00269212 
18.9 81.1 76.4138 0.00282538 0.00282538 
19 81 76.315 0.00295864 0.00295864 
19.1 80.9 76.2161 0.0030919 0.0030919 
19.2 80.8 76.1172 0.00322516 0.00322516 
19.3 80.7 76.0183 0.00335842 0.00335842 
19.4 80.6 75.9195 0.00349168 0.00349168 
19.5 80.5 75.8206 0.00362494 0.00362494 
19.6 80.4 75.7217 0.00375819 0.00375819 
19.7 80.3 75.6229 0.00389145 0.00389145 
19.8 80.2 75.524 0.00402471 0.00402471 
19.9 80.1 75.4251 0.00415797 0.00415797 
20 80 75.3262 0.00429123 0.00429123 
20.1 79.9 75.2274 0.00442449 0.00442449 
20.2 79.8 75.1285 0.00457053 0.00457053 
20.3 79.7 75.0298 0.00482727 0.00482727 
20.4 79.6 74.931 0.00508402 0.00508402 
20.5 79.5 74.8323 0.00534076 0.00534076 
20.6 79.4 74.7335 0.00559751 0.00559751 
20.7 79.3 74.6348 0.00585425 0.00585425 
20.8 79.2 74.536 0.00611099 0.00611099 
20.9 79.1 74.4373 0.00636774 0.00636774 
21 79 74.3385 0.00662448 0.00662448 
21.1 78.9 74.2398 0.00688123 0.00688123 
21.2 78.8 74.141 0.00713797 0.00713797 
21.3 78.7 74.0423 0.00739472 0.00739472 
21.4 78.6 73.9435 0.00765146 0.00765146 
21.5 78.5 73.8448 0.00790821 0.00790821 
21.6 78.4 73.746 0.00816495 0.00816495 
21.7 78.3 73.6473 0.0084217 0.0084217 
21.8 78.2 73.5485 0.00867844 0.00867844 
21.9 78.1 73.4498 0.00893519 0.00893519 
22 78 73.351 0.00919193 0.00919193 
22.1 77.9 73.2523 0.00944868 0.00944868 
22.2 77.8 73.1535 0.00970542 0.00970542 
22.3 77.7 73.0548 0.00996217 0.00996217 
22.4 77.6 72.9562 0.0104085 0.0104085 
22.5 77.5 72.8577 0.0108833 0.0108833 
22.6 77.4 72.7592 0.011358 0.011358 
22.7 77.3 72.6606 0.0118327 0.0118327 
22.8 77.2 72.5621 0.0123074 0.0123074 
22.9 77.1 72.4636 0.0127822 0.0127822 
23 77 72.3651 0.0132569 0.0132569 
23.1 76.9 72.2665 0.0137316 0.0137316 
23.2 76.8 72.168 0.0142064 0.0142064 
23.3 76.7 72.0695 0.0146811 0.0146811 
23.4 76.6 71.9709 0.0151558 0.0151558 
23.5 76.5 71.8724 0.0156306 0.0156306 
23.6 76.4 71.7739 0.0161053 0.0161053 
23.7 76.3 71.6753 0.01658 0.01658 
23.8 76.2 71.5768 0.0170548 0.0170548 
23.9 76.1 71.4783 0.0175295 0.0175295 
24 76 71.3798 0.0180042 0.0180042 
24.1 75.9 71.2812 0.0184789 0.0184789 
24.2 75.8 71.1827 0.0189537 0.0189537 
24.3 75.7 71.0842 0.0194284 0.0194284 
24.4 75.6 70.9856 0.0199031 0.0199031 
24.5 75.5 70.8871 0.0203779 0.0203779 
24.6 75.4 70.7886 0.0208526 0.0208526 
24.7 75.3 70.6902 0.0214758 0.0214758 
24.8 75.2 70.592 0.022319 0.022319 
24.9 75.1 70.4939 0.0231622 0.0231622 
25 75 70.3957 0.0240054 0.0240054 
25.1 74.9 70.2975 0.0248485 0.0248485 
25.2 74.8 70.1994 0.0256917 0.0256917 
25.3 74.7 70.1012 0.0265349 0.0265349 
25.4 74.6 70.0031 0.0273781 0.0273781 
25.5 74.5 69.9049 0.0282212 0.0282212 
25.6 74.4 69.8067 0.0290644 0.0290644 
25.7 74.3 69.7086 0.0299076 0.0299076 
25.8 74.2 69.6104 0.0307508 0.0307508 
25.9 74.1 69.5122 0.0315939 0.0315939 
26 74 69.4141 0.0324371 0.0324371 
26.1 73.9 69.3159 0.0332803 0.0332803 
26.2 73.8 69.2178 0.0341235 0.0341235 
26.3 73.7 69.1196 0.0349666 0.0349666 
26.4 73.6 69.0214 0.0358098 0.0358098 
26.5 73.5 68.9233 0.036653 0.036653 
26.6 73.4 68.8251 0.0374962 0.0374962 
26.7 73.3 68.727 0.0383394 0.0383394 
26.8 73.2 68.6288 0.0391825 0.0391825 
26.9 73.1 68.5306 0.0400257 0.0400257 
27 73 68.4325 0.0408689 0.0408689 
27.1 72.9 68.3343 0.0417121 0.0417121 
27.2 72.8 68.2361 0.0425552 0.0425552 
27.3 72.7 68.1383 0.0436777 0.0436777 
27.4 72.6 68.0407 0.0451175 0.0451175 
27.5 72.5 67.9431 0.0465573 0.0465573 
27.6 72.4 67.8456 0.0479971 0.0479971 
27.7 72.3 67.748 0.0494369 0.0494369 
27.8 72.2 67.6504 0.0508767 0.0508767 
27.9 72.1 67.5529 0.0523164 0.0523164 
28 72 67.4553 0.0537562 0.0537562 
28.1 71.9 67.3577 0.055196 0.055196 
28.2 71.8 67.2602 0.0566358 0.0566358 
28.3 71.7 67.1626 0.0580756 0.0580756 
28.4 71.6 67.065 0.0595153 0.0595153 
28.5 71.5 66.9675 0.0609551 0.0609551 
28.6 71.4 66.8699 0.0623949 0.0623949 
28.7 71.3 66.7723 0.0638347 0.0638347 
28.8 71.2 66.6748 0.0652745 0.0652745 
28.9 71.1 66.5772 0.0667143 0.0667143 
29 71 66.4797 0.068154 0.068154 
29.1 70.9 66.3821 0.0695938 0.0695938 
29.2 70.8 66.2845 0.0710336 0.0710336 
29.3 70.7 66.187 0.0724734 0.0724734 
29.4 70.6 66.0894 0.0739132 0.0739132 
29.5 70.5 65.9918 0.0753529 0.0753529 
29.6 70.4 65.8943 0.0767927 0.0767927 
29.7 70.3 65.7967 0.0782325 0.0782325 
29.8 70.2 65.6991 0.0796723 0.0796723 
29.9 70.1 65.6016 0.0811121 0.0811121 
30 70 65.504 0.0825519 0.0825519 
30.1 69.9 65.4064 0.0839916 0.0839916 
30.2 69.8 65.3096 0.0861775 0.0861775 
30.3 69.7 65.213 0.0885432 0.0885432 
30.4 69.6 65.1163 0.0909089 0.0909089 
30.5 69.5 65.0197 0.0932747 0.0932747 
30.6 69.4 64.9231 0.0956404 0.0956404 
30.7 69.3 64.8264 0.0980061 0.0980061 
30.8 69.2 64.7298 0.100372 0.100372 
30.9 69.1 64.6331 0.102738 0.102738 
31 69 64.5365 0.105103 0.105103 
31.1 68.9 64.4399 0.107469 0.107469 
31.2 68.8 64.3432 0.109835 0.109835 
31.3 68.7 64.2466 0.1122 0.1122 
31.4 68.6 64.1499 0.114566 0.114566 
31.5 68.5 64.0533 0.116932 0.116932 
31.6 68.4 63.9567 0.119298 0.119298 
31.7 68.3 63.86 0.121663 0.121663 
31.8 68.2 63.7634 0.124029 0.124029 
31.9 68.1 63.6667 0.126395 0.126395 
32 68 63.5701 0.12876 0.12876 
32.1 67.9 63.4735 0.131126 0.131126 
32.2 67.8 63.3768 0.133492 0.133492 
32.3 67.7 63.2802 0.135858 0.135858 
32.4 67.6 63.1836 0.138223 0.138223 
32.5 67.5 63.0869 0.140589 0.140589 
32.6 67.4 62.9903 0.142955 0.142955 
32.7 67.3 62.8936 0.14532 0.14532 
32.8 67.2 62.797 0.147686 0.147686 
32.9 67.1 62.7004 0.150052 0.150052 
33 67 62.6037 0.152418 0.152418 
33.1 66.9 62.5071 0.154783 0.154783 
33.2 66.8 62.4104 0.157149 0.157149 
33.3 66.7 62.314 0.159692 0.159692 
33.4 66.6 62.2187 0.163436 0.163436 
33.5 66.5 62.1235 0.16718 0.16718 
33.6 66.4 62.0282 0.170923 0.170923 
33.7 66.3 61.9329 0.174667 0.174667 
33.8 66.2 61.8377 0.178411 0.178411 
33.9 66.1 61.7424 0.182154 0.182154 
34 66 61.6471 0.185898 0.185898 
34.1 65.9 61.5519 0.189642 0.189642 
34.2 65.8 61.4566 0.193385 0.193385 
34.3 65.7 61.3614 0.197129 0.197129 
34.4 65.6 61.2661 0.200873 0.200873 
34.5 65.5 61.1708 0.204617 0.204617 
34.6 65.4 61.0756 0.20836 0.20836 
34.7 65.3 60.9803 0.212104 0.212104 
34.8 65.2 60.8851 0.215848 0.215848 
34.9 65.1 60.7898 0.219591 0.219591 
35 65 60.6945 0.223335 0.223335 
35.1 64.9 60.5993 0.227079 0.227079 
35.2 64.8 60.504 0.230822 0.230822 
35.3 64.7 60.4087 0.234566 0.234566 
35.4 64.6 60.3135 0.23831 0.23831 
35.5 64.5 60.2182 0.242053 0.242053 
35.6 64.4 60.123 0.245797 0.245797 
35.7 64.3 60.0277 0.249541 0.249541 
35.8 64.2 59.9324 0.253284 0.253284 
35.9 64.1 59.8372 0.257028 0.257028 
36 64 59.7419 0.260772 0.260772 
36.1 63.9 59.6467 0.264516 0.264516 
36.2 63.8 59.5514 0.268259 0.268259 
36.3 63.7 59.4561 0.272003 0.272003 
36.4 63.6 59.3609 0.275747 0.275747 
36.5 63.5 59.2656 0.27949 0.27949 
36.6 63.4 59.1704 0.283234 0.283234 
